original_column_name,column_name,column_description,data_format,value_description
pell_value,pell value,percentage of undergraduates receiving a Pell Grant,real,
pell_percentile,pell percentile,Institution's percent rank for undergraduate Pell recipients within sector,integer,
retain_value,retain value,share of freshman students retained for a second year,real,
retain_percentile,retain percentile,Institution's percent rank for freshman retention percentage within sector,integer,
ft_fac_value,full time faculty value,"Percentage of employees devoted to instruction, research or public service who are full-time and do not work for an associated medical school",real,
ft_fac_percentile,full time faculty percentile,Institution's percent rank for full-time faculty share within sector ,integer,
vsa_year,voluntary system of accountability year,Most recent year of Student Success and Progress Rate data available from the Voluntary System of Accountability,text,
vsa_grad_after4_first,voluntary system of accountability after 4 year first time,"First-time, full-time students who graduated from this institution within four years",text,
vsa_grad_elsewhere_after4_first,voluntary system of accountability graduation elsewhere after 4 year first time,"First-time, full-time students who graduated from another institution within four years",text,
vsa_enroll_after4_first,voluntary system of accountability enrollment after 4 year first time,"First-time, full-time students who are still enrolled at this institution after four years",text,
vsa_enroll_elsewhere_after4_first,voluntary system of accountability enrollment elsewhere after 4 year first time,"First-time, full-time students who are enrolled at another institution after four years",text,
vsa_grad_after6_first,voluntary system of accountability graduation elsewhere after 6 year first time,"First-time, full-time students who graduated from this institution within six years",text,null: not available
vsa_grad_elsewhere_after6_first,voluntary system of accountability graduation elsewhere after 6 year first time,"First-time, full-time students who graduated from another institution within six years",text,
vsa_enroll_after6_first,voluntary system of accountability enrollment after 6 year first time,"First-time, full-time students who are still enrolled at this institution after six years",text,
vsa_enroll_elsewhere_after6_first,voluntary system of accountability enrollment elsewhere after 6 year first time,"First-time, full-time students who are enrolled at another institution after six years",text,
vsa_grad_after4_transfer,voluntary system of accountability transfer after 6 year first time,Full-time transfer students who graduated from this institution within four years,text,
vsa_grad_elsewhere_after4_transfer,voluntary system of accountability graduation elsewhere after 4 year ,Full-time transfer students who graduated from this institution within four years,text,
vsa_enroll_after4_transfer,voluntary system of accountability enrollment after 4 years transfer,Full-time transfer students who are still enrolled at this institution after four years,text,
vsa_enroll_elsewhere_after4_transfer,voluntary system of accountability enrollment elsewhere after 4 years transfer,Full-time transfer students who are enrolled at another institution after four years,text,
vsa_grad_after6_transfer,voluntary system of accountability enrollment elsewhere after 6 years transfer,Full-time transfer students who graduated from this institution within six years,text,
vsa_grad_elsewhere_after6_transfer,voluntary system of accountability graduation elsewhere after 6 years transfer,Full-time transfer students who graduated from another institution within six years,text,
vsa_enroll_after6_transfer,voluntary system of accountability enrollment after 6 years transfer,Full-time transfer students who are still enrolled at this institution after six years,text,
vsa_enroll_elsewhere_after6_transfer,voluntary system of accountability enrollment elsewhere after 6 years transfer,Full-time transfer students who are enrolled at another institution after six years,text,
similar,,,,
state_sector_ct,,,,
carnegie_ct,,,,
counted_pct,,,,
nicknames,,,,
cohort_size,,,,
